titles,category
이준석  유승민 모시고 싶은 마음 굴뚝 적절한 시점에 말씀 드릴 것 ,Politics
한동훈  김경율 사퇴 요구  받은 적 없어 ,Politics
   올해부터 본격적인 GTX시대 열겠다 A B C선 연장 ,Politics
정의당 이은주  의원직 사직 류호정은 탈당계 제출,Politics
 속보 중대재해법 유예 협상 난항에      만 영세사업자 마음 생각해달라 ,Politics
 중대재해법 유예  여야 이견  사업장 간 격차 고려  vs  선결 조건 응답 없어 ,Politics
 새로운미래  이석현  이낙연  지역구 출마 가능성 낮다 ,Politics
홍익표  중대재해법 유예 법안  정부   응답 없어  통과 안될 듯 ,Politics
    학기부터 모든 초등생 늘봄학교 새학기 바우처    만원 ,Politics
   불화살      순항미사일 발사    숫자    의미는 ,Politics
 파주 운정에서 서울역까지   분  수도권 GTX 시대 열린다,Economy
KT  아시아 연결 해저케이블 짓는다 트래픽 급증 대응,Economy
전국     곳  착한가격업소 에서 카드 결제하면     원 할인,Economy
기아  지난해 영업익     조  사상 최대  매출    조 종합 ,Economy
삼성카드  서천시장 화재 피해 고객에 금융지원,Economy
SK하이닉스  작년  분기 영업익     억원  분기 만에 흑자 전환 상보 ,Economy
   절규 귀 닫은채  네 탓  공방만     막판까지 평행선,Economy
 절수형 변기 절반   년 내 구입비 회수 연간 최대   만원 절약 ,Economy
LGD  차량 OLED 첫  제품 탄소발자국  인증 획득,Economy
공정위  암참과 플랫폼 법  간담회 구글 메타 등 불참,Economy
새 학기부터  학교폭력 전담조사관  운영,social
 상암동 소각장 철회하라 는 마포구에 서울시  위법 없어  쐐기,social
지난해 임금체불  조      억 원으로  역대 최고치 ,social
최강 한파 속     세 할아버지 실종됐다  버스기사  촉  덕에 구조,social
전체 계층  돌봄 에 진심 광주시와 각 자치구,social
전청조  옥중에서 책 써서 피해보상 하고 싶어 ,social
 코로나   백신 접종자  중증화 낮아   최대  분의   ,social
 김하성   류현진 공갈 의혹  전 야구선수 임혜동 구속심사,social
피의자 신상  비공개  모두 이유공개   이재명 급습범만 사유 미적시 논란,social
정당현수막  다음 달말까지 일제 점검 정비한다,social
작곡가 진은숙  클래식 노벨상  에른스트 폰 지멘스 음악상 수상,Culture
정부  출판 콘텐츠 수출  차 저작권으로 확장,Culture
KG모빌리티  파트너스데이 개최  올해는 백년대계 위한 도약의 원년 ,Culture
 영상 구례  화엄사 홍매화  천연기념물 된다,Culture
SNL코리아 제작사  쿠팡 자회사가 제작진 빼돌려 영업방해 ,Culture
한국타이어  모터스포츠 다큐멘터리 티빙 단독 공개,Culture
미  후티  또 상선 공격 시도 공격 지속 의도 보여줘 ,World
    명 사망 상가 화재 참사 원인은 불법 공사   명 체포,World
작년에 노조 파업 피켓 든 바이든  전미자동차노조 지지 따냈다,World
 더 볼 것 없다  바이든  트럼프와 리턴매치 본격 준비,World
우크라 포로   명 태운 러시아 수송기 추락 전원 사망 종합 ,World
        디올백  여당 뒤흔들다  WSJ도 주목한  김건희 리스크 ,World
가자 휴전 협상 난항  하마스  이스라엘에 영구적 철군 요구 ,World
   지난해 가상화폐 플랫폼   개 해킹  활동 역대 최대 ,World
    월  일 지준율     포인트  장기유동성    조원 공급 ,World
에티버스   오라클 클라우드 서밋       참가,IT
제 통신사 결정하는  주파수 경매  D   KISA 서울청사서 진행,IT
 물류 부진  삼성SDS  지난해 영업익     억원 전년비       감소,IT
 작년  분기 스팸 신고건수    만건 온라인 부고장 사기 기승 ,IT
S  로 바꿀때 지원금 더 늘어나나  단통법 폐지  추진에 소비자 기대감,IT
KT  어르신 위해 TV에서 버스정보 알려준다,IT
네이버웹툰   가비지타임  공식 팝업스토어 운영,IT
 워크넷 개인정보   만건 유출  고용정보원에 과태료    만원,IT
